Age,Gender,Country,AppliedAmount,Amount,Interest,LoanDuration,MonthlyPayment,UseOfLoan,Education,MaritalStatus,NrOfDependants,EmploymentStatus,EmploymentDurationCurrentEmployer,OccupationArea,HomeOwnershipType,IncomeFromPrincipalEmployer,IncomeFromPension,IncomeFromFamilyAllowance,IncomeFromSocialWelfare,IncomeFromLeavePay,IncomeFromChildSupport,IncomeOther,IncomeTotal,ExistingLiabilities,LiabilitiesTotal,DebtToIncome,FreeCash,PlannedInterestTillDate,Status,NoOfPreviousLoansBeforeLoan,AmountOfPreviousLoansBeforeLoan,PreviousRepaymentsBeforeLoan,PreviousEarlyRepaymentsBefoleLoan,PreviousEarlyRepaymentsCountBeforeLoan
42,1,2,8000,8000,31,60,292,1,5,3,0,3,6,17,9,4500,0,0,0,0,0,0,4500,10,3573,55,634,8000,0,0,0,0,8000,1
27,1,0,700,700,25,60,23,5,5,3,0,3,3,15,1,380,280,0,55,0,0,0,715,2,305,10,386,413,0,0,0,0,700,1
41,1,0,3000,3000,34,60,114,2,5,3,0,3,6,16,1,1081,0,0,0,0,0,0,1081,2,496,10,470,3000,0,0,0,0,3000,1
35,1,0,800,800,25,60,26,7,4,3,1,3,3,7,2,850,0,45,0,0,0,0,895,9,603,40,265,0,0,2,1500,459,800,1
38,1,0,5000,5000,25,60,164,0,2,2,3,3,6,7,7,430,0,228,0,0,0,0,658,8,843,47,96,5000,1,1,1350,617,10000,2
30,0,0,4785,2945,20,60,138,0,4,2,1,3,6,19,8,1223,0,0,0,0,0,0,1223,11,1220,46,71,2166,1,3,10100,6982,0,0
38,1,0,10000,10000,20,60,265,2,4,2,1,3,6,7,9,1026,0,45,0,0,0,0,1071,7,1140,40,68,10000,0,0,0,0,10000,1
37,1,0,1595,1595,23,60,49,0,4,3,0,3,1,19,2,521,0,0,0,0,0,0,521,7,567,47,21,0,0,2,4100,2359,0,0
42,0,1,6590,4285,32,60,238,2,5,1,2,3,6,11,2,2654,0,0,0,0,0,0,2654,13,2418,63,185,4285,1,1,3190,356,0,0
36,1,1,2125,1640,47,60,97,7,4,3,0,3,6,1,2,750,0,0,0,0,0,0,750,8,814,47,45,1441,0,0,0,0,0,0
61,1,2,6910,6910,24,60,217,0,4,2,0,3,1,17,6,1741,0,0,0,0,0,0,1741,11,2255,64,102,6910,1,1,8000,6812,0,0
60,1,0,3000,3000,16,60,84,1,4,1,0,4,6,19,1,7000,0,0,0,0,0,0,7000,6,7112,7,1323,1018,0,0,0,0,3000,1
39,0,1,2655,2655,31,60,93,0,2,1,1,3,2,8,1,1200,0,0,0,0,0,0,1200,7,3196,53,196,2655,1,0,0,0,0,0
42,0,2,530,530,24,60,16,7,4,3,3,3,4,1,8,1100,0,0,0,0,0,0,1100,4,1079,22,3,530,1,1,3500,340,0,0
30,0,2,7000,5475,27,60,241,6,4,2,1,3,2,6,3,2513,0,95,0,0,0,0,2608,2,882,13,1484,5475,0,0,0,0,7000,1
37,0,0,2000,2000,22,60,62,2,2,1,4,3,3,6,1,567,0,0,0,0,0,0,567,7,538,41,83,1709,0,2,3500,459,2000,1
48,0,0,500,500,30,36,22,7,2,1,0,3,6,6,1,1800,0,0,0,0,0,0,1800,2,630,6,1147,275,1,0,0,0,500,1
42,1,2,10000,10000,36,60,396,2,4,1,2,3,3,11,1,2742,0,110,0,0,0,0,2852,2,1205,13,1250,10000,0,0,0,0,10000,1
46,0,0,2000,2000,20,9,247,3,4,2,1,5,6,3,1,2000,0,0,0,0,0,0,2000,1,600,12,1152,193,0,0,0,0,7700,1
38,1,0,1000,1000,24,60,32,4,5,2,2,5,2,1,1,700,0,127,0,0,360,0,1187,2,486,2,668,229,0,0,0,0,870,1
25,1,0,1600,1600,26,48,59,2,4,2,1,2,2,1,1,0,0,45,45,286,0,0,376,4,428,31,8,1580,0,0,0,0,3600,2
50,1,0,4000,4000,17,36,156,2,3,2,0,3,6,17,1,350,220,0,0,0,0,0,570,5,378,43,74,416,0,0,0,0,4000,1
48,0,1,1060,1060,48,60,49,7,3,4,0,3,6,1,2,1100,0,0,0,0,0,0,1100,8,1419,66,19,1060,0,0,0,0,0,0
24,1,0,4500,4500,46,60,203,1,2,1,2,3,1,1,4,385,0,147,0,0,0,0,532,9,863,52,1,4500,0,0,0,0,0,0
65,0,2,5100,5100,23,60,155,0,2,3,0,6,6,1,3,0,1013,0,124,0,0,0,1137,6,1184,44,128,73,1,0,0,0,0,0
43,0,2,10000,10000,26,60,334,2,4,1,2,3,6,17,1,2050,0,217,0,0,0,0,2267,3,1230,39,702,360,0,0,0,0,10000,1
29,1,1,8500,8500,31,60,309,0,2,3,0,3,6,14,5,1100,0,0,0,0,0,0,1100,7,1113,51,184,5817,0,0,0,0,8500,1
39,1,0,800,800,24,60,25,8,5,1,0,3,1,17,2,771,258,0,53,0,0,0,1082,4,868,45,188,0,0,0,0,0,1600,2
48,1,0,1595,1595,27,60,52,8,5,3,1,3,6,14,1,611,0,45,0,0,0,0,656,7,702,37,157,1595,0,2,2000,2589,0,0
49,1,2,8000,8000,34,60,306,7,4,3,1,3,5,1,1,1900,0,140,0,0,120,0,2160,7,2405,41,38,7724,1,0,0,0,24000,3
34,1,0,6375,6375,23,60,194,0,5,2,2,3,6,7,2,0,0,109,0,530,0,0,639,4,441,30,194,6375,0,0,0,0,0,0
26,1,0,1600,1600,31,60,58,2,4,1,1,3,1,7,3,495,0,0,0,0,0,0,495,2,309,23,126,1501,1,3,2600,1328,1600,1
44,1,0,1060,1060,28,60,35,7,4,1,0,3,3,9,1,400,0,0,0,0,0,0,400,4,412,35,9,1060,0,2,2600,1539,0,0
27,0,0,530,530,41,60,22,7,4,2,1,3,2,6,3,860,0,0,0,0,0,0,860,1,258,2,579,508,0,1,635,656,0,0
44,0,0,3720,3720,31,60,131,6,4,1,2,3,1,6,1,1025,0,0,0,0,0,0,1025,5,959,51,194,3720,0,0,0,0,0,0
41,1,2,4500,4500,17,60,129,0,3,4,2,3,6,1,5,1800,0,300,0,0,0,0,2100,5,1411,43,559,4500,0,0,0,0,4500,1
24,1,0,1000,1000,25,60,33,7,2,2,1,3,3,3,2,0,0,64,0,382,0,0,446,4,408,43,4,151,0,2,1200,904,1000,1
56,0,2,1400,1400,17,60,39,3,4,1,0,3,4,3,3,1800,0,0,0,0,0,45,1845,5,1172,15,633,914,1,0,0,0,1400,1
31,0,1,1060,1060,48,60,49,7,4,1,2,3,6,8,8,1145,0,0,0,0,0,0,1145,7,1440,33,110,1060,1,0,0,0,0,0
33,0,2,6000,6000,17,60,171,7,3,1,3,3,3,6,6,2500,0,300,0,0,0,0,2800,5,1641,27,1187,6000,1,0,0,0,0,0
25,0,0,1500,1500,23,12,146,0,4,3,0,3,6,3,1,1000,0,0,0,0,0,0,1000,8,859,55,144,76,0,1,2200,640,3000,2
